From_ID,To_ID,Time,Fare
KJ1,KJ4,9,1.9
KJ2,KJ4,6,1.6
KJ3,KJ4,2,1.8
KJ4,KJ4,0,0.0
KJ5,KJ4,6,1.5
KJ6,KJ4,8,1.8
KJ7,KJ4,9,1.8
KJ8,KJ4,10,2.0
KJ9,KJ4,12,2.2
KJ10,KJ4,13,2.4
KJ11,KJ4,15,2.6
KJ12,KJ4,17,2.6
KJ13,KJ4,19,2.8
KJ14,KJ4,20,3.0
KJ15,KJ4,23,3.3
KJ16,KJ4,25,3.1
KJ17,KJ4,28,3.3
KJ18,KJ4,29,3.4
KJ19,KJ4,31,3.5
KJ20,KJ4,35,3.3
KJ21,KJ4,37,3.4
KJ22,KJ4,40,3.6
KJ23,KJ4,43,3.7
KJ24,KJ4,45,3.1
KJ25,KJ4,48,3.3
KJ26,KJ4,50,3.3
KJ27,KJ4,53,3.5
KJ28,KJ4,54,3.6
KJ29,KJ4,58,3.8
KJ30,KJ4,60,3.8
KJ31,KJ4,63,4.0
KJ32,KJ4,64,4.1
KJ33,KJ4,67,4.2
KJ34,KJ4,69,4.3
KJ35,KJ4,72,4.5
KJ36,KJ4,75,4.8
KJ37,KJ4,79,4.8
KG4,KJ4,54,5.3
KG5,KJ4,51,5.9
KG5A,KJ4,46,5.6
KG6,KJ4,44,5.5
KG7,KJ4,40,5.6
KG8,KJ4,38,5.4
KG9,KJ4,36,5.5
KG10,KJ4,34,5.2
KG12,KJ4,30,4.9
KG12A,KJ4,26,4.9
KG13,KJ4,55,4.3
KG14,KJ4,52,4.0
KG15,KJ4,47,3.4
KG16,KJ4,45,3.0
KG17,KJ4,41,3.1
KG18A,KJ4,39,3.4
KG20,KJ4,37,3.7
KG21,KJ4,35,4.0
KG22,KJ4,31,4.0
KG23,KJ4,27,4.5
KG24,KJ4,56,4.7
KG25,KJ4,53,5.0
KG26,KJ4,48,5.4
KG27,KJ4,46,5.9
KG28,KJ4,42,5.8
KG29,KJ4,40,6.1
KG30,KJ4,38,6.2
KG31,KJ4,36,6.1
KG33,KJ4,32,6.6
KG34,KJ4,28,6.8
KG35,KJ4,57,6.4
KJ1,KJ5,15,2.5
KJ2,KJ5,12,2.1
KJ3,KJ5,8,1.8
KJ4,KJ5,6,1.5
KJ5,KJ5,0,0.0
KJ6,KJ5,2,1.1
KJ7,KJ5,3,1.2
KJ8,KJ5,4,1.4
KJ9,KJ5,6,1.7
KJ10,KJ5,7,1.8
KJ11,KJ5,9,2.1
KJ12,KJ5,11,2.3
KJ13,KJ5,13,2.6
KJ14,KJ5,14,2.8
KJ15,KJ5,17,2.8
KJ16,KJ5,19,3.0
KJ17,KJ5,22,3.2
KJ18,KJ5,23,3.4
KJ19,KJ5,25,3.1
KJ20,KJ5,29,3.5
KJ21,KJ5,31,3.6
KJ22,KJ5,34,3.3
KJ23,KJ5,37,3.4
KJ24,KJ5,39,3.5
KJ25,KJ5,42,3.7
KJ26,KJ5,44,3.8
KJ27,KJ5,47,3.2
KJ28,KJ5,48,3.4
KJ29,KJ5,52,3.5
KJ30,KJ5,54,3.6
KJ31,KJ5,57,3.8
KJ32,KJ5,58,3.9
KJ33,KJ5,61,4.0
KJ34,KJ5,63,4.1
KJ35,KJ5,66,4.3
KJ36,KJ5,69,4.4
KJ37,KJ5,73,4.5
KG4,KJ5,51,5.2
KG5,KJ5,48,5.8
KG5A,KJ5,43,5.5
KG6,KJ5,41,5.3
KG7,KJ5,37,5.5
KG8,KJ5,35,5.2
KG9,KJ5,33,5.3
KG10,KJ5,31,5.1
KG12,KJ5,27,4.7
KG12A,KJ5,23,4.8
KG13,KJ5,52,4.1
KG14,KJ5,49,3.9
KG15,KJ5,44,3.2
KG16,KJ5,42,2.8
KG17,KJ5,38,2.8
KG18A,KJ5,36,3.2
KG20,KJ5,34,3.6
KG21,KJ5,32,3.9
KG22,KJ5,28,3.9
KG23,KJ5,24,4.3
KG24,KJ5,53,4.6
KG25,KJ5,50,4.8
KG26,KJ5,45,5.2
KG27,KJ5,43,5.7
KG28,KJ5,39,5.6
KG29,KJ5,37,5.9
KG30,KJ5,35,6.1
KG31,KJ5,33,6.0
KG33,KJ5,29,6.5
KG34,KJ5,25,6.6
KG35,KJ5,54,6.2
KJ1,KJ6,17,2.7
KJ2,KJ6,14,2.4
KJ3,KJ6,10,1.9
KJ4,KJ6,8,1.8
KJ5,KJ6,2,1.1
KJ6,KJ6,0,0.0
KJ7,KJ6,1,1.0
KJ8,KJ6,2,1.2
KJ9,KJ6,4,1.5
KJ10,KJ6,5,1.7
KJ11,KJ6,7,1.8
KJ12,KJ6,9,2.1
KJ13,KJ6,11,2.4
KJ14,KJ6,12,2.6
KJ15,KJ6,15,2.6
KJ16,KJ6,17,2.8
KJ17,KJ6,20,3.1
KJ18,KJ6,21,3.2
KJ19,KJ6,23,3.4
KJ20,KJ6,27,3.3
KJ21,KJ6,29,3.4
KJ22,KJ6,32,3.7
KJ23,KJ6,35,3.3
KJ24,KJ6,37,3.4
KJ25,KJ6,40,3.6
KJ26,KJ6,42,3.7
KJ27,KJ6,45,3.2
KJ28,KJ6,46,3.3
KJ29,KJ6,50,3.4
KJ30,KJ6,52,3.5
KJ31,KJ6,55,3.7
KJ32,KJ6,56,3.8
KJ33,KJ6,59,3.9
KJ34,KJ6,61,4.0
KJ35,KJ6,64,4.2
KJ36,KJ6,67,4.3
KJ37,KJ6,71,4.5
KG4,KJ6,49,5.0
KG5,KJ6,46,5.6
KG5A,KJ6,41,5.3
KG6,KJ6,39,5.1
KG7,KJ6,35,5.3
KG8,KJ6,33,5.0
KG9,KJ6,31,5.1
KG10,KJ6,29,4.8
KG12,KJ6,25,4.5
KG12A,KJ6,21,4.6
KG13,KJ6,50,3.9
KG14,KJ6,47,3.7
KG15,KJ6,42,3.0
KG16,KJ6,40,2.6
KG17,KJ6,36,2.6
KG18A,KJ6,34,2.9
KG20,KJ6,32,3.4
KG21,KJ6,30,3.6
KG22,KJ6,26,3.7
KG23,KJ6,22,4.1
KG24,KJ6,51,4.3
KG25,KJ6,48,4.6
KG26,KJ6,43,5.0
KG27,KJ6,41,5.5
KG28,KJ6,37,5.4
KG29,KJ6,35,5.7
KG30,KJ6,33,5.9
KG31,KJ6,31,5.8
KG33,KJ6,27,6.3
KG34,KJ6,23,6.4
KG35,KJ6,52,6.0
KJ1,KJ7,18,2.6
KJ2,KJ7,15,2.5
KJ3,KJ7,11,2.0
KJ4,KJ7,9,1.8
KJ5,KJ7,3,1.2
KJ6,KJ7,1,1.0
KJ7,KJ7,0,0.0
KJ8,KJ7,1,1.1
KJ9,KJ7,3,1.3
KJ10,KJ7,4,1.6
KJ11,KJ7,6,1.8
KJ12,KJ7,8,1.9
KJ13,KJ7,10,2.2
KJ14,KJ7,11,2.5
KJ15,KJ7,14,2.8
KJ16,KJ7,16,2.7
KJ17,KJ7,19,3.0
KJ18,KJ7,20,3.1
KJ19,KJ7,22,3.3
KJ20,KJ7,26,3.2
KJ21,KJ7,28,3.4
KJ22,KJ7,31,3.6
KJ23,KJ7,34,3.2
KJ24,KJ7,36,3.4
KJ25,KJ7,39,3.5
KJ26,KJ7,41,3.6
KJ27,KJ7,44,3.8
KJ28,KJ7,45,3.2
KJ29,KJ7,49,3.4
KJ30,KJ7,51,3.5
KJ31,KJ7,54,3.6
KJ32,KJ7,55,3.7
KJ33,KJ7,58,3.9
KJ34,KJ7,60,3.9
KJ35,KJ7,63,4.1
KJ36,KJ7,66,4.3
KJ37,KJ7,70,4.4
KG4,KJ7,47,4.8
KG5,KJ7,44,5.4
KG5A,KJ7,39,5.1
KG6,KJ7,37,5.0
KG7,KJ7,33,5.1
KG8,KJ7,31,4.9
KG9,KJ7,29,5.0
KG10,KJ7,27,4.7
KG12,KJ7,23,4.4
KG12A,KJ7,19,4.4
KG13,KJ7,48,3.8
KG14,KJ7,45,3.6
KG15,KJ7,40,2.8
KG16,KJ7,38,2.5
KG17,KJ7,34,2.5
KG18A,KJ7,32,2.8
KG20,KJ7,30,3.2
KG21,KJ7,28,3.5
KG22,KJ7,24,3.5
KG23,KJ7,20,4.0
KG24,KJ7,49,4.2
KG25,KJ7,46,4.5
KG26,KJ7,41,4.9
KG27,KJ7,39,5.4
KG28,KJ7,35,5.3
KG29,KJ7,33,5.6
KG30,KJ7,31,5.7
KG31,KJ7,29,5.6
KG33,KJ7,25,6.1
KG34,KJ7,21,6.3
KG35,KJ7,50,5.9
KJ1,KJ8,19,2.7
KJ2,KJ8,16,2.7
KJ3,KJ8,12,2.2
KJ4,KJ8,10,2.0
KJ5,KJ8,4,1.4
KJ6,KJ8,2,1.2
KJ7,KJ8,1,1.1
KJ8,KJ8,0,0.0
KJ9,KJ8,2,1.1
KJ10,KJ8,3,1.3
KJ11,KJ8,5,1.6
KJ12,KJ8,7,1.8
KJ13,KJ8,9,2.0
KJ14,KJ8,10,2.3
KJ15,KJ8,13,2.6
KJ16,KJ8,15,2.6
KJ17,KJ8,18,2.8
KJ18,KJ8,19,3.0
KJ19,KJ8,21,3.1
KJ20,KJ8,25,3.1
KJ21,KJ8,27,3.2
KJ22,KJ8,30,3.5
KJ23,KJ8,33,3.7
KJ24,KJ8,35,3.3
KJ25,KJ8,38,3.4
KJ26,KJ8,40,3.5
KJ27,KJ8,43,3.7
KJ28,KJ8,44,3.2
KJ29,KJ8,48,3.3
KJ30,KJ8,50,3.4
KJ31,KJ8,53,3.6
KJ32,KJ8,54,3.6
KJ33,KJ8,57,3.8
KJ34,KJ8,59,3.9
KJ35,KJ8,62,4.0
KJ36,KJ8,65,4.2
